callbackTime_mobile,color_mobile,colorName_mobile,displayTime_mobile,index_mobile,t0_us_mobile,offset_us_mobile,corrected_callbackTime_mobile,corrected_displayTime_mobile,detectTime_fixture,index_fixture,value_fixture,t0_us_fixture,offset_us_fixture,corrected_detectTime_fixture,display_latency_us,callback_latency_us,phone_model,load
14998722,1,WHITE,14999919,0,1631136003913495,2931,1631136018909286,1631136018910483,,,,,,,,,Samsung SM-A102U,none
15197441,0,BLACK,15198345,1,1631136003913495,2931,1631136019108005,1631136019108909,15400890.0,1.0,DARK,1631136003799279.0,1048.0,1631136019199121.0,90212.0,91116.0,Samsung SM-A102U,none
15396907,1,WHITE,15399273,2,1631136003913495,2931,1631136019307471,1631136019309837,15580090.0,2.0,LIGHT,1631136003799279.0,1048.0,1631136019378321.0,68484.0,70850.0,Samsung SM-A102U,none
15596434,0,BLACK,15598433,3,1631136003913495,2931,1631136019506998,1631136019508997,15813050.0,3.0,DARK,1631136003799279.0,1048.0,1631136019611281.0,102284.0,104283.0,Samsung SM-A102U,none
15796292,1,WHITE,15798317,4,1631136003913495,2931,1631136019706856,1631136019708881,15992251.0,4.0,LIGHT,1631136003799279.0,1048.0,1631136019790482.0,81601.0,83626.0,Samsung SM-A102U,none
15995582,0,BLACK,15997631,5,1631136003913495,2931,1631136019906146,1631136019908195,16207290.0,5.0,DARK,1631136003799279.0,1048.0,1631136020005521.0,97326.0,99375.0,Samsung SM-A102U,none
16195335,1,WHITE,16197528,6,1631136003913495,2931,1631136020105899,1631136020108092,16386490.0,6.0,LIGHT,1631136003799279.0,1048.0,1631136020184721.0,76629.0,78822.0,Samsung SM-A102U,none
16395241,0,BLACK,16397454,7,1631136003913495,2931,1631136020305805,1631136020308018,16601531.0,7.0,DARK,1631136003799279.0,1048.0,1631136020399762.0,91744.0,93957.0,Samsung SM-A102U,none
16594982,1,WHITE,16597190,8,1631136003913495,2931,1631136020505546,1631136020507754,16780730.0,8.0,LIGHT,1631136003799279.0,1048.0,1631136020578961.0,71207.0,73415.0,Samsung SM-A102U,none
16796374,0,BLACK,16798426,9,1631136003913495,2931,1631136020706938,1631136020708990,16995770.0,9.0,DARK,1631136003799279.0,1048.0,1631136020794001.0,85011.0,87063.0,Samsung SM-A102U,none
16995799,1,WHITE,16997842,10,1631136003913495,2931,1631136020906363,1631136020908406,17192890.0,10.0,LIGHT,1631136003799279.0,1048.0,1631136020991121.0,82715.0,84758.0,Samsung SM-A102U,none
17195961,0,BLACK,17198282,11,1631136003913495,2931,1631136021106525,1631136021108846,17407930.0,11.0,DARK,1631136003799279.0,1048.0,1631136021206161.0,97315.0,99636.0,Samsung SM-A102U,none
17396303,1,WHITE,17398310,12,1631136003913495,2931,1631136021306867,1631136021308874,17587132.0,12.0,LIGHT,1631136003799279.0,1048.0,1631136021385363.0,76489.0,78496.0,Samsung SM-A102U,none
17596047,0,BLACK,17598491,13,1631136003913495,2931,1631136021506611,1631136021509055,17802170.0,13.0,DARK,1631136003799279.0,1048.0,1631136021600401.0,91346.0,93790.0,Samsung SM-A102U,none
17796462,1,WHITE,17798511,14,1631136003913495,2931,1631136021707026,1631136021709075,17981370.0,14.0,LIGHT,1631136003799279.0,1048.0,1631136021779601.0,70526.0,72575.0,Samsung SM-A102U,none
17996225,0,BLACK,17999100,15,1631136003913495,2931,1631136021906789,1631136021909664,18214330.0,15.0,DARK,1631136003799279.0,1048.0,1631136022012561.0,102897.0,105772.0,Samsung SM-A102U,none
18196323,1,WHITE,18198622,16,1631136003913495,2931,1631136022106887,1631136022109186,18393530.0,16.0,LIGHT,1631136003799279.0,1048.0,1631136022191761.0,82575.0,84874.0,Samsung SM-A102U,none
18395972,0,BLACK,18398197,17,1631136003913495,2931,1631136022306536,1631136022308761,18608570.0,17.0,DARK,1631136003799279.0,1048.0,1631136022406801.0,98040.0,100265.0,Samsung SM-A102U,none
18596502,1,WHITE,18599024,18,1631136003913495,2931,1631136022507066,1631136022509588,18787770.0,18.0,LIGHT,1631136003799279.0,1048.0,1631136022586001.0,76413.0,78935.0,Samsung SM-A102U,none
18795669,0,BLACK,18797714,19,1631136003913495,2931,1631136022706233,1631136022708278,19002810.0,19.0,DARK,1631136003799279.0,1048.0,1631136022801041.0,92763.0,94808.0,Samsung SM-A102U,none
18995453,1,WHITE,18997484,20,1631136003913495,2931,1631136022906017,1631136022908048,19182012.0,20.0,LIGHT,1631136003799279.0,1048.0,1631136022980243.0,72195.0,74226.0,Samsung SM-A102U,none
19195989,0,BLACK,19198212,21,1631136003913495,2931,1631136023106553,1631136023108776,19414971.0,21.0,DARK,1631136003799279.0,1048.0,1631136023213202.0,104426.0,106649.0,Samsung SM-A102U,none
19396596,1,WHITE,19398993,22,1631136003913495,2931,1631136023307160,1631136023309557,19594170.0,22.0,LIGHT,1631136003799279.0,1048.0,1631136023392401.0,82844.0,85241.0,Samsung SM-A102U,none
19595948,0,BLACK,19598028,23,1631136003913495,2931,1631136023506512,1631136023508592,19809210.0,23.0,DARK,1631136003799279.0,1048.0,1631136023607441.0,98849.0,100929.0,Samsung SM-A102U,none
19796193,1,WHITE,19798230,24,1631136003913495,2931,1631136023706757,1631136023708794,19988410.0,24.0,LIGHT,1631136003799279.0,1048.0,1631136023786641.0,77847.0,79884.0,Samsung SM-A102U,none
19995836,0,BLACK,19997900,25,1631136003913495,2931,1631136023906400,1631136023908464,20203450.0,25.0,DARK,1631136003799279.0,1048.0,1631136024001681.0,93217.0,95281.0,Samsung SM-A102U,none
20197151,1,WHITE,20199397,26,1631136003913495,2931,1631136024107715,1631136024109961,20382650.0,26.0,LIGHT,1631136003799279.0,1048.0,1631136024180881.0,70920.0,73166.0,Samsung SM-A102U,none
